cleaned_transcriptions,bpe_8000,unigram_2000,human,char_8000
"na4 ya1 ni1-sa4-ko1yo(3)=e4=ya2 na4chu3 ba42 ndi4 ka4chi2=yu1 ndi4 xi14in(3)=2 sa4-ndi'3i(3)=2 xa'1a4 nu1ni4, nu1ni4 ta3ta2 i1ki4 kan4 ji'4in4 ya1 nu1ni4 toro ya1 ya3a3 ndi4 ya1 kan4 ndi4","▁na 4 ▁ya 1 ▁ni 1- sa 4- ko 1 yo (3)= e 4= ya 2 ▁na 4 chu 3 ▁ba 42 ▁ndi 4 ▁ka 4 chi 2= yu 1 ▁ndi 4 ▁xi 14 in (3)=2 ▁sa 4- ndi '3 i (3)=2 ▁xa '1 a 4 ▁nu 1 ni 4, ▁nu 1 ni 4 ▁ta 3 ta 2 ▁i 1 ki 4 ▁kan 4 ▁ji '4 in 4 ▁ya 1 ▁nu 1 ni 4 ▁toro ▁ya 1 ▁ya 3 a 3 ▁ndi 4 ▁ya 1 ▁kan 4 ▁ndi 4","▁na 4 ▁ya 1 ▁ni 1- sa 4- ko 1 yo (3)= e 4= ya 2 ▁na 4 chu 3 ▁ba 4 2 ▁ndi 4 ▁ka 4 chi 2= yu 1 ▁ndi 4 ▁xi 1 4 in (3)= 2 ▁sa 4- ndi '3 i (3)= 2 ▁xa '1 a 4 ▁nu 1 ni 4, ▁nu 1 ni 4 ▁ta 3 ta 2 ▁i 1 ki 4 ▁kan 4 ▁ji '4 in 4 ▁ya 1 ▁nu 1 ni 4 ▁toro ▁ya 1 ▁ya 3 a 3 ▁ndi 4 ▁ya 1 ▁kan 4 ▁ndi 4","na4ya1ni1sa4ko1yo(3) e4 ya2na4chu3ba42ndi4ka4chi2 yu1ndi4xi14in(3) 2sa4ndi'3i(3) 2xa'1a4nu1ni4,nu1ni4ta3ta2i1ki4kan4ji'4in4ya1nu1ni4toroya1ya3a3ndi4ya1kan4ndi4","▁ n a 4 ▁ y a 1 ▁ n i 1 - s a 4 - k o 1 y o ( 3 ) = e 4 = y a 2 ▁ n a 4 c h u 3 ▁ b a 4 2 ▁ n d i 4 ▁ k a 4 c h i 2 = y u 1 ▁ n d i 4 ▁ x i 1 4 i n ( 3 ) = 2 ▁ s a 4 - n d i ' 3 i ( 3 ) = 2 ▁ x a ' 1 a 4 ▁ n u 1 n i 4 , ▁ n u 1 n i 4 ▁ t a 3 t a 2 ▁ i 1 k i 4 ▁ k a n 4 ▁ j i ' 4 i n 4 ▁ y a 1 ▁ n u 1 n i 4 ▁ t o r o ▁ y a 1 ▁ y a 3 a 3 ▁ n d i 4 ▁ y a 1 ▁ k a n 4 ▁ n d i 4"
"ba'1a3=ni42 kia'4bi13=a2 na4 ba1xi(3)=o4 ji'4in(4)=a2 Salubi ka1a3 a1chi1 ndi4 ya1 ndo3o3 nu14u3 ku4ni2 na1 ka1a3 o4ra2 ya1 ba1xi3 ya1 ka3ku3 yu3ba(4)=e4 ya1 kwi1ya1 xa14a3 ndi4 xi4to3=na2 ke'4e4=na2 tan3 yo'4o4 tan3 kan4 ke'4e4=na2 nu14u(3)=a2 xi4ka3 nu3u3=na3,","▁ba '1 a 3= ni 42 ▁kia '4 bi 13= a 2 ▁na 4 ▁ba 1 xi (3)= o 4 ▁ji '4 in (4)= a 2 ▁Salubi ▁ka 1 a 3 ▁a 1 chi 1 ▁ndi 4 ▁ya 1 ▁ndo 3 o 3 ▁nu 14 u 3 ▁ku 4 ni 2 ▁na 1 ▁ka 1 a 3 ▁o 4 ra 2 ▁ya 1 ▁ba 1 xi 3 ▁ya 1 ▁ka 3 ku 3 ▁yu 3 ba (4)= e 4 ▁ya 1 ▁kwi 1 ya 1 ▁xa 14 a 3 ▁ndi 4 ▁xi 4 to 3= na 2 ▁ke '4 e 4= na 2 ▁tan 3 ▁yo '4 o 4 ▁tan 3 ▁kan 4 ▁ke '4 e 4= na 2 ▁nu 14 u (3)= a 2 ▁xi 4 ka 3 ▁nu 3 u 3= na 3,","▁ba '1 a 3= ni 4 2 ▁ki a '4 bi 1 3= a 2 ▁na 4 ▁ba 1 xi (3)= o 4 ▁ji '4 in (4)= a 2 ▁Salu bi ▁ka 1 a 3 ▁a 1 chi 1 ▁ndi 4 ▁ya 1 ▁ndo 3 o 3 ▁nu 1 4 u 3 ▁ku 4 ni 2 ▁na 1 ▁ka 1 a 3 ▁o 4 ra 2 ▁ya 1 ▁ba 1 xi 3 ▁ya 1 ▁ka 3 ku 3 ▁yu 3 ba (4)= e 4 ▁ya 1 ▁kwi 1 ya 1 ▁xa 1 4 a 3 ▁ndi 4 ▁xi 4 to 3= na 2 ▁ke '4 e 4= na 2 ▁tan 3 ▁yo '4 o 4 ▁tan 3 ▁kan 4 ▁ke '4 e 4= na 2 ▁nu 1 4 u (3)= a 2 ▁xi 4 ka 3 ▁nu 3 u 3= na 3,","ba'1a3 ni42kia'4bi13 a2na4ba1xi(3) o4ji'4in(4) a2Salubika1a3a1chi1ndi4ya1ndo3o3nu14u3ku4ni2na1ka1a3o4ra2ya1ba1xi3ya1ka3ku3yu3ba(4) e4ya1kwi1ya1xa14a3ndi4xi4to3 na2ke'4e4 na2tan3yo'4o4tan3kan4ke'4e4 na2nu14u(3) a2xi4ka3nu3u3 na3,","▁ b a ' 1 a 3 = n i 4 2 ▁ k i a ' 4 b i 1 3 = a 2 ▁ n a 4 ▁ b a 1 x i ( 3 ) = o 4 ▁ j i ' 4 i n ( 4 ) = a 2 ▁ S a l u b i ▁ k a 1 a 3 ▁ a 1 c h i 1 ▁ n d i 4 ▁ y a 1 ▁ n d o 3 o 3 ▁ n u 1 4 u 3 ▁ k u 4 n i 2 ▁ n a 1 ▁ k a 1 a 3 ▁ o 4 r a 2 ▁ y a 1 ▁ b a 1 x i 3 ▁ y a 1 ▁ k a 3 k u 3 ▁ y u 3 b a ( 4 ) = e 4 ▁ y a 1 ▁ k w i 1 y a 1 ▁ x a 1 4 a 3 ▁ n d i 4 ▁ x i 4 t o 3 = n a 2 ▁ k e ' 4 e 4 = n a 2 ▁ t a n 3 ▁ y o ' 4 o 4 ▁ t a n 3 ▁ k a n 4 ▁ k e ' 4 e 4 = n a 2 ▁ n u 1 4 u ( 3 ) = a 2 ▁ x i 4 k a 3 ▁ n u 3 u 3 = n a 3 ,"
"an4 ba'1a3 ni1-nda3chi4=a2 ba'1a3 ni1-ke3e3 ta'1yu1 ji'4in(4)=a2 ndi4 ba4a24 sa4ta24=na(2)=e2 a1chi1 ndi4 ya1, ya1 nu1ni4 kwe4nda2 posoli ka'4an2=na1 ji'4in(4)=a3.","▁an 4 ▁ba '1 a 3 ▁ni 1- nda 3 chi 4= a 2 ▁ba '1 a 3 ▁ni 1- ke 3 e 3 ▁ta '1 yu 1 ▁ji '4 in (4)= a 2 ▁ndi 4 ▁ba 4 a 24 ▁sa 4 ta 24= na (2)= e 2 ▁a 1 chi 1 ▁ndi 4 ▁ya 1, ▁ya 1 ▁nu 1 ni 4 ▁kwe 4 nda 2 ▁posoli ▁ka '4 an 2= na 1 ▁ji '4 in (4)= a 3.","▁an 4 ▁ba '1 a 3 ▁ni 1- nda 3 chi 4= a 2 ▁ba '1 a 3 ▁ni 1- ke 3 e 3 ▁ta '1 yu 1 ▁ji '4 in (4)= a 2 ▁ndi 4 ▁ba 4 a 2 4 ▁sa 4 ta 2 4= na (2)= e 2 ▁a 1 chi 1 ▁ndi 4 ▁ya 1, ▁ya 1 ▁nu 1 ni 4 ▁kwe 4 nda 2 ▁po so li ▁ka '4 an 2= na 1 ▁ji '4 in (4)= a 3.","an4ba'1a3ni1nda3chi4 a2ba'1a3ni1ke3e3ta'1yu1ji'4in(4) a2ndi4ba4a24sa4ta24 na(2) e2a1chi1ndi4ya1,ya1nu1ni4kwe4nda2posolika'4an2 na1ji'4in(4) a3.","▁ a n 4 ▁ b a ' 1 a 3 ▁ n i 1 - n d a 3 c h i 4 = a 2 ▁ b a ' 1 a 3 ▁ n i 1 - k e 3 e 3 ▁ t a ' 1 y u 1 ▁ j i ' 4 i n ( 4 ) = a 2 ▁ n d i 4 ▁ b a 4 a 2 4 ▁ s a 4 t a 2 4 = n a ( 2 ) = e 2 ▁ a 1 c h i 1 ▁ n d i 4 ▁ y a 1 , ▁ y a 1 ▁ n u 1 n i 4 ▁ k w e 4 n d a 2 ▁ p o s o l i ▁ k a ' 4 a n 2 = n a 1 ▁ j i ' 4 i n ( 4 ) = a 3 ."
"Tan3 nu1ni4 ya1 ka'4an2=na1 ji'4in4 ku4u4, nu1ni4 ta3ta2 kwa4chi3 kwa4an2 tu3 tin3, ¿i4yo2 ka(1)=e1?","▁Tan 3 ▁nu 1 ni 4 ▁ya 1 ▁ka '4 an 2= na 1 ▁ji '4 in 4 ▁ku 4 u 4, ▁nu 1 ni 4 ▁ta 3 ta 2 ▁kwa 4 chi 3 ▁kwa 4 an 2 ▁tu 3 ▁tin 3, ▁¿ i 4 yo 2 ▁ka (1)= e 1?","▁Tan 3 ▁nu 1 ni 4 ▁ya 1 ▁ka '4 an 2= na 1 ▁ji '4 in 4 ▁ku 4 u 4, ▁nu 1 ni 4 ▁ta 3 ta 2 ▁kwa 4 chi 3 ▁kwa 4 an 2 ▁tu 3 ▁tin 3, ▁¿ i 4 yo 2 ▁ka (1)= e 1?","Tan3nu1ni4ya1ka'4an2 na1ji'4in4ku4u4,nu1ni4ta3ta2kwa4chi3kwa4an2tu3tin3,¿i4yo2ka(1) e1?","▁ T a n 3 ▁ n u 1 n i 4 ▁ y a 1 ▁ k a ' 4 a n 2 = n a 1 ▁ j i ' 4 i n 4 ▁ k u 4 u 4 , ▁ n u 1 n i 4 ▁ t a 3 t a 2 ▁ k w a 4 c h i 3 ▁ k w a 4 a n 2 ▁ t u 3 ▁ t i n 3 , ▁ ¿ i 4 y o 2 ▁ k a ( 1 ) = e 1 ?"
Ya1 kan4 ndi4 tu4u(2)=i2 ndi4 ta'14an2 ndi'3i3,▁Ya 1 ▁kan 4 ▁ndi 4 ▁tu 4 u (2)= i 2 ▁ndi 4 ▁ta '14 an 2 ▁ndi '3 i 3,▁Ya 1 ▁kan 4 ▁ndi 4 ▁tu 4 u (2)= i 2 ▁ndi 4 ▁ta '1 4 an 2 ▁ndi '3 i 3,Ya1kan4ndi4tu4u(2) i2ndi4ta'14an2ndi'3i3,▁ Y a 1 ▁ k a n 4 ▁ n d i 4 ▁ t u 4 u ( 2 ) = i 2 ▁ n d i 4 ▁ t a ' 1 4 a n 2 ▁ n d i ' 3 i 3
"I4yo(2)=a2, i4yo(2)=a2, ko14o(3)=a2 i4xa3 yu'1u1 tan3 ndi4 nda4a2 ni3=na2 ndi4 na1 Ciprianu ta'3bi4 kan4 ndi4 i4yo(2)=a2 i4xa3=na2 xi4to3 yu'1u1, i4yo(2)=a2 i4xa3=na2 ba143 xa'4a13=na2 ndi'3i3 xa'1a4=e3.","▁I 4 yo (2)= a 2, ▁i 4 yo (2)= a 2, ▁ko 14 o (3)= a 2 ▁i 4 xa 3 ▁yu '1 u 1 ▁tan 3 ▁ndi 4 ▁nda 4 a 2 ▁ni 3= na 2 ▁ndi 4 ▁na 1 ▁Ciprianu ▁ta '3 bi 4 ▁kan 4 ▁ndi 4 ▁i 4 yo (2)= a 2 ▁i 4 xa 3= na 2 ▁xi 4 to 3 ▁yu '1 u 1, ▁i 4 yo (2)= a 2 ▁i 4 xa 3= na 2 ▁ba 143 ▁xa '4 a 13= na 2 ▁ndi '3 i 3 ▁xa '1 a 4= e 3.","▁I 4 yo (2)= a 2, ▁i 4 yo (2)= a 2, ▁ko 1 4 o (3)= a 2 ▁i 4 xa 3 ▁yu '1 u 1 ▁tan 3 ▁ndi 4 ▁nda 4 a 2 ▁ni 3= na 2 ▁ndi 4 ▁na 1 ▁Ci p ri an u ▁ta '3 bi 4 ▁kan 4 ▁ndi 4 ▁i 4 yo (2)= a 2 ▁i 4 xa 3= na 2 ▁xi 4 to 3 ▁yu '1 u 1, ▁i 4 yo (2)= a 2 ▁i 4 xa 3= na 2 ▁ba 143 ▁xa '4 a 1 3= na 2 ▁ndi '3 i 3 ▁xa '1 a 4= e 3.","I4yo(2) a2,i4yo(2) a2,ko14o(3) a2i4xa3yu'1u1tan3ndi4nda4a2ni3 na2ndi4na1Ciprianuta'3bi4kan4ndi4i4yo(2) a2i4xa3 na2xi4to3yu'1u1,i4yo(2) a2i4xa3 na2ba143xa'4a13 na2ndi'3i3xa'1a4 e3.","▁ I 4 y o ( 2 ) = a 2 , ▁ i 4 y o ( 2 ) = a 2 , ▁ k o 1 4 o ( 3 ) = a 2 ▁ i 4 x a 3 ▁ y u ' 1 u 1 ▁ t a n 3 ▁ n d i 4 ▁ n d a 4 a 2 ▁ n i 3 = n a 2 ▁ n d i 4 ▁ n a 1 ▁ C i p r i a n u ▁ t a ' 3 b i 4 ▁ k a n 4 ▁ n d i 4 ▁ i 4 y o ( 2 ) = a 2 ▁ i 4 x a 3 = n a 2 ▁ x i 4 t o 3 ▁ y u ' 1 u 1 , ▁ i 4 y o ( 2 ) = a 2 ▁ i 4 x a 3 = n a 2 ▁ b a 1 4 3 ▁ x a ' 4 a 1 3 = n a 2 ▁ n d i ' 3 i 3 ▁ x a ' 1 a 4 = e 3 ."
"Ba'1a3=ni42 ba3 ndi4 ba143 ndi'4i4 xa'1a4=e3, ¿tan3 nu1ni4 ka3ma3che4ñu2 ka4chi2 tu3ku3=na2 tin3?","▁Ba '1 a 3= ni 42 ▁ba 3 ▁ndi 4 ▁ba 143 ▁ndi '4 i 4 ▁xa '1 a 4= e 3, ▁¿ tan 3 ▁nu 1 ni 4 ▁ka 3 ma 3 che 4 ñu 2 ▁ka 4 chi 2 ▁tu 3 ku 3= na 2 ▁tin 3?","▁Ba '1 a 3= ni 4 2 ▁ba 3 ▁ndi 4 ▁ba 143 ▁ndi '4 i 4 ▁xa '1 a 4= e 3, ▁¿ tan 3 ▁nu 1 ni 4 ▁ka 3 ma 3 che 4 ñu 2 ▁ka 4 chi 2 ▁tu 3 ku 3= na 2 ▁tin 3?","Ba'1a3 ni42ba3ndi4ba143ndi'4i4xa'1a4 e3,¿tan3nu1ni4ka3ma3che4ñu2ka4chi2tu3ku3 na2tin3?","▁ B a ' 1 a 3 = n i 4 2 ▁ b a 3 ▁ n d i 4 ▁ b a 1 4 3 ▁ n d i ' 4 i 4 ▁ x a ' 1 a 4 = e 3 , ▁ ¿ t a n 3 ▁ n u 1 n i 4 ▁ k a 3 m a 3 c h e 4 ñ u 2 ▁ k a 4 c h i 2 ▁ t u 3 k u 3 = n a 2 ▁ t i n 3 ?"
"Ya1 ka3ma3che4ñu2 kan4 ndi4 ya1 kan4 ndi4 ya1 kwa'4a1 sa3in4 ba42 kan4, ya1 kwa'4a1 sa3in4 ba42 kan4 ndi4, ku3ta'3an2 ka1 tu(3)=e4=e2 kan4 ba3 mi4i4 i4yo(2)=a2 ndi4 ni3 yu'1u1 tan3 ko14o(3)=a2 i4xa(3)=2 tan3 ndi4, ndi4 i4yo(2)=a2 tu4u2=yu1 ndi4 nda14-ka'3an4=2 yo3o3 ku4u4 na1, na1,","▁Ya 1 ▁ka 3 ma 3 che 4 ñu 2 ▁kan 4 ▁ndi 4 ▁ya 1 ▁kan 4 ▁ndi 4 ▁ya 1 ▁kwa '4 a 1 ▁sa 3 in 4 ▁ba 42 ▁kan 4, ▁ya 1 ▁kwa '4 a 1 ▁sa 3 in 4 ▁ba 42 ▁kan 4 ▁ndi 4, ▁ku 3 ta '3 an 2 ▁ka 1 ▁tu (3)= e 4= e 2 ▁kan 4 ▁ba 3 ▁mi 4 i 4 ▁i 4 yo (2)= a 2 ▁ndi 4 ▁ni 3 ▁yu '1 u 1 ▁tan 3 ▁ko 14 o (3)= a 2 ▁i 4 xa (3)=2 ▁tan 3 ▁ndi 4, ▁ndi 4 ▁i 4 yo (2)= a 2 ▁tu 4 u 2= yu 1 ▁ndi 4 ▁nda 14- ka '3 an 4=2 ▁yo 3 o 3 ▁ku 4 u 4 ▁na 1, ▁na 1,","▁Ya 1 ▁ka 3 ma 3 che 4 ñu 2 ▁kan 4 ▁ndi 4 ▁ya 1 ▁kan 4 ▁ndi 4 ▁ya 1 ▁kwa '4 a 1 ▁sa 3 in 4 ▁ba 4 2 ▁kan 4, ▁ya 1 ▁kwa '4 a 1 ▁sa 3 in 4 ▁ba 4 2 ▁kan 4 ▁ndi 4, ▁ku 3 ta '3 an 2 ▁ka 1 ▁tu (3)= e 4= e 2 ▁kan 4 ▁ba 3 ▁mi 4 i 4 ▁i 4 yo (2)= a 2 ▁ndi 4 ▁ni 3 ▁yu '1 u 1 ▁tan 3 ▁ko 1 4 o (3)= a 2 ▁i 4 xa (3)= 2 ▁tan 3 ▁ndi 4, ▁ndi 4 ▁i 4 yo (2)= a 2 ▁tu 4 u 2= yu 1 ▁ndi 4 ▁nda 14- ka '3 an 4= 2 ▁yo 3 o 3 ▁ku 4 u 4 ▁na 1, ▁na 1,","Ya1ka3ma3che4ñu2kan4ndi4ya1kan4ndi4ya1kwa'4a1sa3in4ba42kan4,ya1kwa'4a1sa3in4ba42kan4ndi4,ku3ta'3an2ka1tu(3) e4 e2kan4ba3mi4i4i4yo(2) a2ndi4ni3yu'1u1tan3ko14o(3) a2i4xa(3) 2tan3ndi4,ndi4i4yo(2) a2tu4u2 yu1ndi4nda14ka'3an4 2yo3o3ku4u4na1,na1,","▁ Y a 1 ▁ k a 3 m a 3 c h e 4 ñ u 2 ▁ k a n 4 ▁ n d i 4 ▁ y a 1 ▁ k a n 4 ▁ n d i 4 ▁ y a 1 ▁ k w a ' 4 a 1 ▁ s a 3 i n 4 ▁ b a 4 2 ▁ k a n 4 , ▁ y a 1 ▁ k w a ' 4 a 1 ▁ s a 3 i n 4 ▁ b a 4 2 ▁ k a n 4 ▁ n d i 4 , ▁ k u 3 t a ' 3 a n 2 ▁ k a 1 ▁ t u ( 3 ) = e 4 = e 2 ▁ k a n 4 ▁ b a 3 ▁ m i 4 i 4 ▁ i 4 y o ( 2 ) = a 2 ▁ n d i 4 ▁ n i 3 ▁ y u ' 1 u 1 ▁ t a n 3 ▁ k o 1 4 o ( 3 ) = a 2 ▁ i 4 x a ( 3 ) = 2 ▁ t a n 3 ▁ n d i 4 , ▁ n d i 4 ▁ i 4 y o ( 2 ) = a 2 ▁ t u 4 u 2 = y u 1 ▁ n d i 4 ▁ n d a 1 4 - k a ' 3 a n 4 = 2 ▁ y o 3 o 3 ▁ k u 4 u 4 ▁ n a 1 , ▁ n a 1 ,"
"na1 ta4u3ni2 Culá Coñu ña1a4 na1 Mbro4sio2 ña1a4 na1 ña1a4 ku4u4 na1 chi'4i(4)=a2 ya1, ya1 ka3ma3che4ñu2 ña1a4, ya1, ko14o(3)=a2 ta'4an2 ndi'3i3 xa'1a4 tu4u2=yu1.","▁na 1 ▁ta 4 u 3 ni 2 ▁Culá ▁Coñu ▁ña 1 a 4 ▁na 1 ▁Mbro 4 sio 2 ▁ña 1 a 4 ▁na 1 ▁ña 1 a 4 ▁ku 4 u 4 ▁na 1 ▁chi '4 i (4)= a 2 ▁ya 1, ▁ya 1 ▁ka 3 ma 3 che 4 ñu 2 ▁ña 1 a 4, ▁ya 1, ▁ko 14 o (3)= a 2 ▁ta '4 an 2 ▁ndi '3 i 3 ▁xa '1 a 4 ▁tu 4 u 2= yu 1.","▁na 1 ▁ta 4 u 3 ni 2 ▁Cul á ▁Co ñu ▁ña 1 a 4 ▁na 1 ▁Mb ro 4 si o 2 ▁ña 1 a 4 ▁na 1 ▁ña 1 a 4 ▁ku 4 u 4 ▁na 1 ▁chi '4 i (4)= a 2 ▁ya 1, ▁ya 1 ▁ka 3 ma 3 che 4 ñu 2 ▁ña 1 a 4, ▁ya 1, ▁ko 1 4 o (3)= a 2 ▁ta '4 an 2 ▁ndi '3 i 3 ▁xa '1 a 4 ▁tu 4 u 2= yu 1.","na1ta4u3ni2CuláCoñuña1a4na1Mbro4sio2ña1a4na1ña1a4ku4u4na1chi'4i(4) a2ya1,ya1ka3ma3che4ñu2ña1a4,ya1,ko14o(3) a2ta'4an2ndi'3i3xa'1a4tu4u2 yu1.","▁ n a 1 ▁ t a 4 u 3 n i 2 ▁ C u l á ▁ C o ñ u ▁ ñ a 1 a 4 ▁ n a 1 ▁ M b r o 4 s i o 2 ▁ ñ a 1 a 4 ▁ n a 1 ▁ ñ a 1 a 4 ▁ k u 4 u 4 ▁ n a 1 ▁ c h i ' 4 i ( 4 ) = a 2 ▁ y a 1 , ▁ y a 1 ▁ k a 3 m a 3 c h e 4 ñ u 2 ▁ ñ a 1 a 4 , ▁ y a 1 , ▁ k o 1 4 o ( 3 ) = a 2 ▁ t a ' 4 a n 2 ▁ n d i ' 3 i 3 ▁ x a ' 1 a 4 ▁ t u 4 u 2 = y u 1 ."
Ko14o3 ta'3an(2)=e2 ta'4an2 ndi'3i3 xa'1a4.,▁Ko 14 o 3 ▁ta '3 an (2)= e 2 ▁ta '4 an 2 ▁ndi '3 i 3 ▁xa '1 a 4.,▁Ko 1 4 o 3 ▁ta '3 an (2)= e 2 ▁ta '4 an 2 ▁ndi '3 i 3 ▁xa '1 a 4.,Ko14o3ta'3an(2) e2ta'4an2ndi'3i3xa'1a4.,▁ K o 1 4 o 3 ▁ t a ' 3 a n ( 2 ) = e 2 ▁ t a ' 4 a n 2 ▁ n d i ' 3 i 3 ▁ x a ' 1 a 4 .
Ko14o(3)=a2 ta'4an2 ndi'3i3 xa'1a4.,▁Ko 14 o (3)= a 2 ▁ta '4 an 2 ▁ndi '3 i 3 ▁xa '1 a 4.,▁Ko 1 4 o (3)= a 2 ▁ta '4 an 2 ▁ndi '3 i 3 ▁xa '1 a 4.,Ko14o(3) a2ta'4an2ndi'3i3xa'1a4.,▁ K o 1 4 o ( 3 ) = a 2 ▁ t a ' 4 a n 2 ▁ n d i ' 3 i 3 ▁ x a ' 1 a 4 .
"Tan3 o4ra2 nda4-ka1ya1 nu1ni4 kan4 ni3i4 kan4 tin3, ¿an4 be'3e3 ki4xa2a(2)=e2 an4 ko14o3 an4 xa14ku'1u1 kan4 ko4yo13=a2 i4xa3=na3?","▁Tan 3 ▁o 4 ra 2 ▁nda 4- ka 1 ya 1 ▁nu 1 ni 4 ▁kan 4 ▁ni 3 i 4 ▁kan 4 ▁tin 3, ▁¿ an 4 ▁be '3 e 3 ▁ki 4 xa 2 a (2)= e 2 ▁an 4 ▁ko 14 o 3 ▁an 4 ▁xa 14 ku '1 u 1 ▁kan 4 ▁ko 4 yo 13= a 2 ▁i 4 xa 3= na 3?","▁Tan 3 ▁o 4 ra 2 ▁nda 4- ka 1 ya 1 ▁nu 1 ni 4 ▁kan 4 ▁ni 3 i 4 ▁kan 4 ▁tin 3, ▁¿ an 4 ▁be '3 e 3 ▁ki 4 xa 2 a (2)= e 2 ▁an 4 ▁ko 1 4 o 3 ▁an 4 ▁xa 1 4 ku '1 u 1 ▁kan 4 ▁ko 4 yo 1 3= a 2 ▁i 4 xa 3= na 3?","Tan3o4ra2nda4ka1ya1nu1ni4kan4ni3i4kan4tin3,¿an4be'3e3ki4xa2a(2) e2an4ko14o3an4xa14ku'1u1kan4ko4yo13 a2i4xa3 na3?","▁ T a n 3 ▁ o 4 r a 2 ▁ n d a 4 - k a 1 y a 1 ▁ n u 1 n i 4 ▁ k a n 4 ▁ n i 3 i 4 ▁ k a n 4 ▁ t i n 3 , ▁ ¿ a n 4 ▁ b e ' 3 e 3 ▁ k i 4 x a 2 a ( 2 ) = e 2 ▁ a n 4 ▁ k o 1 4 o 3 ▁ a n 4 ▁ x a 1 4 k u ' 1 u 1 ▁ k a n 4 ▁ k o 4 y o 1 3 = a 2 ▁ i 4 x a 3 = n a 3 ?"
Kwi3i3 ki3xa2a(2)=e2 be'3e3 tan3 sa4-ko1yo(3)=e4=e2 a1chi1 ndi4 ja1 yu14bi4 ni1-ku3-ba'1a3 ku4u4 yu14bi4 ñu3u2=e4 tin3 ndi4 tan42 ku4u4 mi4i4 nda13-ka3ya(2)=e2 tin3 ndi4 ya1 ku4u(4)=a2 i3chi4 carru ji13tu(3)=2 ta'4bi4 yo3so4 kan4 ndi4,▁Kwi 3 i 3 ▁ki 3 xa 2 a (2)= e 2 ▁be '3 e 3 ▁tan 3 ▁sa 4- ko 1 yo (3)= e 4= e 2 ▁a 1 chi 1 ▁ndi 4 ▁ja 1 ▁yu 14 bi 4 ▁ni 1- ku 3- ba '1 a 3 ▁ku 4 u 4 ▁yu 14 bi 4 ▁ñu 3 u 2= e 4 ▁tin 3 ▁ndi 4 ▁tan 42 ▁ku 4 u 4 ▁mi 4 i 4 ▁nda 13- ka 3 ya (2)= e 2 ▁tin 3 ▁ndi 4 ▁ya 1 ▁ku 4 u (4)= a 2 ▁i 3 chi 4 ▁carru ▁ji 13 tu (3)=2 ▁ta '4 bi 4 ▁yo 3 so 4 ▁kan 4 ▁ndi 4,▁Kwi 3 i 3 ▁ki 3 xa 2 a (2)= e 2 ▁be '3 e 3 ▁tan 3 ▁sa 4- ko 1 yo (3)= e 4= e 2 ▁a 1 chi 1 ▁ndi 4 ▁ja 1 ▁yu 1 4 bi 4 ▁ni 1- ku 3- ba '1 a 3 ▁ku 4 u 4 ▁yu 1 4 bi 4 ▁ñu 3 u 2= e 4 ▁tin 3 ▁ndi 4 ▁tan 4 2 ▁ku 4 u 4 ▁mi 4 i 4 ▁nda 13- ka 3 ya (2)= e 2 ▁tin 3 ▁ndi 4 ▁ya 1 ▁ku 4 u (4)= a 2 ▁i 3 chi 4 ▁carru ▁ji 1 3 tu (3)= 2 ▁ta '4 bi 4 ▁yo 3 so 4 ▁kan 4 ▁ndi 4,Kwi3i3ki3xa2a(2) e2be'3e3tan3sa4ko1yo(3) e4 e2a1chi1ndi4ja1yu14bi4ni1ku3ba'1a3ku4u4yu14bi4ñu3u2 e4tin3ndi4tan42ku4u4mi4i4nda13ka3ya(2) e2tin3ndi4ya1ku4u(4) a2i3chi4carruji13tu(3) 2ta'4bi4yo3so4kan4ndi4,▁ K w i 3 i 3 ▁ k i 3 x a 2 a ( 2 ) = e 2 ▁ b e ' 3 e 3 ▁ t a n 3 ▁ s a 4 - k o 1 y o ( 3 ) = e 4 = e 2 ▁ a 1 c h i 1 ▁ n d i 4 ▁ j a 1 ▁ y u 1 4 b i 4 ▁ n i 1 - k u 3 - b a ' 1 a 3 ▁ k u 4 u 4 ▁ y u 1 4 b i 4 ▁ ñ u 3 u 2 = e 4 ▁ t i n 3 ▁ n d i 4 ▁ t a n 4 2 ▁ k u 4 u 4 ▁ m i 4 i 4 ▁ n d a 1 3 - k a 3 y a ( 2 ) = e 2 ▁ t i n 3 ▁ n d i 4 ▁ y a 1 ▁ k u 4 u ( 4 ) = a 2 ▁ i 3 c h i 4 ▁ c a r r u ▁ j i 1 3 t u ( 3 ) = 2 ▁ t a ' 4 b i 4 ▁ y o 3 s o 4 ▁ k a n 4 ▁ n d i 4
